date_set_min,date_set_max,date_achieved_min,date_achieved_max,date_started,date_finished,single_stream,goal_type,goal_amount,reward
2021-07-20,2021-07-20,2021-07-20,2021-07-20,,,false,follows,500,
2021-07-21,2021-07-21,2021-07-22,2021-07-28,,,false,follows,600,
2021-07-28,2021-07-28,2021-08-06,2021-08-06,,,false,subs,69,
2021-07-28,2021-07-28,2021-07-28,2021-07-28,,,false,subs,50,
2021-07-28,2021-07-28,2021-07-28,2021-07-28,,,false,subs,10,
2021-07-28,2021-07-28,2021-08-15,2021-08-15,,,false,follows,1000,
2021-08-06,2021-08-06,2022-01-21,2022-01-21,2021-09-10,2021-09-10,false,donos,2420,Sleepover stream
2021-08-06,2021-08-13,2021-08-13,2021-08-13,,,false,subs,150,
2021-08-15,2021-08-15,2021-08-18,2021-08-20,2021-08-20,2021-08-20,false,subs,200,Zero Two cosplay
2021-08-18,2021-08-20,2021-09-05,2021-09-05,2021-09-10,2021-09-10,false,subs,300,TTS for donations
2021-08-15,2021-08-20,2021-08-22,2021-08-22,2022-10-23,2022-10-23,false,follows,1200,Makeup stream
2021-10-02,2021-10-11,2021-10-11,2021-10-11,2021-10-17,2021-10-17,false,subs,666,Fake bobs
2021-10-02,2021-10-11,2021-10-17,2021-12-01,2021-10-23,2021-10-23,false,donos,420,Astolfo cosplay
2021-10-11,2021-10-23,2021-10-23,2021-12-01,2021-10-23,2021-12-14,false,?,?,Lego
2021-10-02,2021-11-16,2021-10-02,2021-11-19,2021-11-21,2021-11-21,false,?,?,10-hour stream
2021-10-11,2021-12-01,2021-12-01,2022-01-27,2022-03-05,2022-03-08,false,subs,500,Get nails done
2021-10-11,2021-12-01,2021-12-01,2022-01-27,2022-02-20,2022-02-20,false,donos,?,Cooking stream 1
2021-10-11,2021-12-01,2021-12-01,2022-01-27,2022-01-23,2022-01-23,false,?,?,Latex Dress
2021-10-11,2021-12-01,2021-12-08,2021-12-08,2022-03-20,2022-03-20,false,donos,690,Jessica Rabbit cosplay
2021-10-11,2021-12-01,2022-01-19,2022-01-19,2021-11-21,2021-11-21,false,subs,1000,Acrylic nails
2021-12-14,2021-12-14,2021-12-17,2021-12-17,?,?,false,donos,1300,Arcane cosplay
2021-12-19,2021-12-19,2021-12-19,2021-12-19,2022-02-18,,false,donos,500,Play horror game (Five Nights at Freddy's)
2022-03-02,2022-03-02,2022-03-02,2022-03-02,2022-03-30,2022-03-30,true,donos,5000,Go to store dressed as girl
2022-03-02,2022-03-02,failed,failed,,,true,donos,15000,12-hour stream
2022-03-02,2022-03-02,2022-03-02,2022-03-02,2022-03-02,2022-03-02,true,donos,1000,Shave body on stream
2022-03-02,2022-03-02,2022-03-02,2022-03-02,2022-04-11,2022-04-11,true,donos,2000,Cooking stream 2
2022-03-02,2022-03-02,2022-03-02,2022-03-02,2022-04-22,,true,donos,3000,Play Outlast
2022-03-23,2022-03-23,2022-03-23,2022-03-23,,,false,donos,2000,Skirt at skatepark
2022-03-23,2022-03-23,2022-03-23,2022-03-23,2022-03-27,2022-04-03,false,donos,1000,Girl week 1
2022-03-23,2022-03-23,2022-03-27,2022-03-27,,,false,subs,777,Mediashare
2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-04-03,2022-04-10,true,donos,2000,Girl week 2
2022-03-30,2022-03-30,2022-04-11,2022-04-11,,,false,subs,420,Just Dance stream
2022-03-30,2022-03-30,2022-03-30,2022-03-30,2022-04-10,2022-04-17,false,donos,3000,Girl week 3
2022-04-01,2022-04-01,2022-04-01,2022-04-01,2022-04-17,2022-04-24,false,donos,3000,Girl week 4
2022-04-08,2022-04-08,2022-04-08,2022-04-08,,,false,donos,1000,Eyelash extensions
2022-04-13,2022-04-13,2022-04-13,2022-04-13,,,false,donos,2000,Gymnastics Leotard Outfit
2022-04-22,2022-04-22,2022-04-22,2022-04-22,,,false,subs,777,Girl week 5
2022-04-27,2022-04-27,2022-04-29,2022-04-29,,,false,subs,888,
2022-04-27,2022-04-27,2022-05-13,2022-05-13,,,false,donos,2000,Game show stream
